Marca temporal,L1Q1,L1Q2,L1Q3,L1Q4,L2Q1,L2Q2,L2Q3,L3Q1,L3Q2,L3Q3,L3Q4,L3Q5,L4Q1,L4Q2,L4Q3,L4Q4,L4Q5,L4Q6,L4Q7,U1Q1,U1Q2,U1Q3,U1Q4,U1Q5,U1Q6,U1Q7,U1Q8,U1Q9,U1Q10,U1Q11,U1Q12,E1Q1,E1Q2,E1Q3,E1Q4,E1Q5,E1Q6,E1Q7,E1Q8,E1Q9,E1Q10,E1Q11,E1Q12,E1Q13
10-02-2023,3,1,1,1,2,0,0,2,1,3,0,0,1,2,2,1,1,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-02-2023,1,0,1,0,0,1,1,0,2,1,1,0,1,0,1,#N/A,1,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-02-2023,1,1,1,0,3,0,0,2,1,0,1,0,1,1,2,0,1,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-02-2023,2,3,1,2,2,2,1,2,0,3,2,0,1,1,2,2,1,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-02-2023,2,1,2,1,2,3,1,0,1,1,2,1,2,1,1,1,2,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13-02-2023,2,2,1,2,2,2,1,0,2,2,2,1,2,3,4,1,1,2,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-02-2023,1,3,1,2,3,0,1,1,1,2,1,0,2,1,1,1,1,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-03-2023,1,4,1,1,1,3,1,1,2,3,2,2,2,3,2,1,#N/A,2,2,1,2,2,0,2,1,1,3,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1
12-03-2023,0,2,1,#N/A,2,2,0,2,1,1,2,1,1,3,2,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,#N/A
12-03-2023,3,4,2,3,4,4,3,2,3,4,4,2,2,4,4,2,2,3,4,2,2,2,2,2,3,3,3,2,2,2,2,4,2,2,3,3,2,2,2,2,2,2,2,2
12-03-2023,4,5,3,4,5,5,4,3,4,5,5,3,3,5,5,3,3,4,5,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3
